method,target_sparsity,n_runs,n_memorized,n_grokked,success_rate,n_stopped_before_budget,memorization_step_n,memorization_step_mean,memorization_step_median,memorization_step_std,memorization_step_min,memorization_step_max,grokking_step_n,grokking_step_mean,grokking_step_median,grokking_step_std,grokking_step_min,grokking_step_max,grokking_gap_n,grokking_gap_mean,grokking_gap_median,grokking_gap_std,grokking_gap_min,grokking_gap_max,final_val_acc_n,final_val_acc_mean,final_val_acc_median,final_val_acc_std,final_val_acc_min,final_val_acc_max
imp,0.0,5,5,5,1.0,0,5,152.0,150.0,13.509256086106296,140.0,175.0,5,808.0,935.0,222.78352721868822,470.0,980.0,5,656.0,785.0,223.59002661120644,330.0,830.0,5,1.0,1.0,0.0,1.0,1.0
imp,0.2,5,5,5,1.0,5,5,1597.0,230.0,2072.391734204709,145.0,4775.0,5,2159.0,835.0,2598.2768328259403,325.0,6500.0,5,562.0,300.0,702.0559094545106,0.0,1725.0,5,0.9917109458023379,0.9959617428267801,0.01012078082959333,0.9753453772582359,1.0
imp,0.5,5,5,5,1.0,2,5,27720.0,25775.0,4809.7037330796165,23125.0,35175.0,5,30215.0,29275.0,5104.7343221758365,25150.0,37500.0,5,2495.0,2325.0,932.6373893427177,1275.0,3500.0,5,0.9474176408076515,0.9496280552603613,0.005682411023320224,0.9411264612114771,0.953028692879915
imp,0.7,5,4,3,0.6,1,4,23975.0,24425.0,12057.172830587884,10850.0,36200.0,3,31150.0,34625.0,10407.118957713514,19450.0,39375.0,3,2800.0,2650.0,326.9174207655505,2575.0,3175.0,5,0.8959404888416579,0.9260361317747078,0.05189120314245195,0.8153028692879914,0.9379383634431456
imp,0.8,5,5,4,0.8,3,5,338.0,350.0,52.03364296299078,280.0,410.0,4,8305.0,572.5,15614.21521136002,350.0,31725.0,4,7971.25,257.5,15563.114177974365,55.0,31315.0,5,0.8954303931987248,0.900106269925611,0.03401202131678448,0.8442082890541976,0.9287991498405951
imp,0.9,5,5,1,0.2,0,5,14837.0,15925.0,9029.893133365422,535.0,24325.0,1,34925.0,34925.0,,34925.0,34925.0,1,21650.0,21650.0,,21650.0,21650.0,5,0.9152391073326249,0.934750265674814,0.049204100215982656,0.8278427205100957,0.9464399574920298
imp,0.95,5,0,0,0.0,0,0,,,,,,0,,,,,,0,,,,,,5,0.6022104144527098,0.6320935175345377,0.05806902246543772,0.5052072263549415,0.6480340063761956
one_shot,0.0,5,5,5,1.0,0,5,152.0,150.0,13.509256086106296,140.0,175.0,5,808.0,935.0,222.78352721868822,470.0,980.0,5,656.0,785.0,223.59002661120644,330.0,830.0,5,1.0,1.0,0.0,1.0,1.0
one_shot,0.2,5,5,5,1.0,5,5,1634.0,210.0,2044.0810893895575,140.0,4350.0,5,2090.0,380.0,2526.01712187388,270.0,5775.0,5,456.0,240.0,551.8197169366097,115.0,1425.0,5,0.9900956429330499,0.9985122210414453,0.019351983966516197,0.9555791710945802,1.0
one_shot,0.5,5,4,4,0.8,4,4,1850.0,962.5,2463.3141632091238,125.0,5350.0,4,2613.75,1107.5,3761.186370903025,140.0,8100.0,4,763.75,145.0,1327.1923686238304,15.0,2750.0,5,0.9748352816153029,0.9987247608926674,0.05390758152235707,0.8784272051009564,1.0
one_shot,0.7,5,4,4,0.8,4,4,2078.75,602.5,3286.470688038056,135.0,6975.0,4,5176.25,687.5,9341.948739422627,155.0,19175.0,4,3097.5,85.0,6068.460128676247,20.0,12200.0,5,0.9705844845908608,0.997874601487779,0.04319466592176326,0.9022316684378321,1.0
one_shot,0.8,5,4,4,0.8,4,4,572.5,560.0,472.25522760473496,145.0,1025.0,4,743.75,672.5,658.5384701493655,155.0,1475.0,4,171.25,112.5,202.17051384083354,10.0,450.0,5,0.9617003188097769,0.9993623804463337,0.08072142113147396,0.8174282678002125,1.0
one_shot,0.9,5,4,3,0.6,3,4,545.0,485.0,273.8004139271281,310.0,900.0,3,4768.333333333333,560.0,7454.197363454588,370.0,13375.0,3,4248.333333333333,210.0,7124.897075279989,60.0,12475.0,5,0.9371307120085015,0.9738575982996812,0.08129536787369074,0.8112646121147715,1.0
one_shot,0.95,5,3,1,0.2,1,3,1720.0,805.0,1694.2328647502975,680.0,3675.0,1,1975.0,1975.0,,1975.0,1975.0,1,1170.0,1170.0,,1170.0,1170.0,5,0.6994261424017003,0.8293304994686503,0.31147812728381125,0.2157279489904357,0.9946865037194474
