method,target_sparsity,seed,memorized,grokked,memorization_step,grokking_step,grokking_gap,final_train_acc,final_val_acc,phase_input_sparsity,summary_sha256,summary_source,n_rounds,steps_per_round,total_discovery_updates,preserved_round,preserved_history_last_step,preserved_round_max_train_acc,preserved_round_max_val_acc,preserved_round_any_val_at_threshold,intermediate_rounds_preserved
imp,0.2,0,True,False,150,,,1.0,0.565143464399575,0.0,50ca64404515f82ef919aa85f758e5d348643f8119a78dfafaf844e6c072ccbd,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.20/seed_0/imp_phase/summary.json,1,400,400,1,400,1.0,0.565143464399575,False,False
imp,0.2,1,True,False,150,,,1.0,0.5504782146652497,0.0,750b2e714c19da3eca27679b75f6f6c41c28b6195090258cd9089039265b4359,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.20/seed_1/imp_phase/summary.json,1,400,400,1,400,1.0,0.5504782146652497,False,False
imp,0.2,2,True,False,145,,,1.0,0.5311370882040383,0.0,ef71630ae3a979b1cc3becfd6a3c95bf0afc14c88cd282c0d97840e15977ced0,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.20/seed_2/imp_phase/summary.json,1,400,400,1,400,1.0,0.5311370882040383,False,False
imp,0.2,3,True,False,175,,,1.0,0.8565356004250797,0.0,9596d8bc286747b609eccb7d1f9fdd4d85313a9292fbbdd8278e426e1ab8598f,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.20/seed_3/imp_phase/summary.json,1,400,400,1,400,1.0,0.8565356004250797,False,False
imp,0.2,4,True,False,140,,,1.0,0.9069075451647184,0.0,91c7ba44b2d2a95b94c8c208a9022d867b3c07dad7688d1a28bdf1ffd51fc991,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.20/seed_4/imp_phase/summary.json,1,400,400,1,400,1.0,0.9069075451647184,False,False
imp,0.5,0,False,False,,,,0.79421768707483,0.7160467587672689,0.48800137783221065,74c2dd04eeae4ef593679fd014e257a597a9e2c47ef6092bcb9ca82fceb5912d,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.50/seed_0/imp_phase/summary.json,4,400,1600,4,400,0.8014455782312925,0.7160467587672689,False,False
imp,0.5,1,False,False,,,,0.8131377551020408,0.7260361317747077,0.48800137783221065,603845fad53cc06fe8b6a779d42d94df4ff05e51b54c5b5aa9184b64a3729f7e,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.50/seed_1/imp_phase/summary.json,4,400,1600,4,400,0.8263180272108843,0.7443145589798087,False,False
imp,0.5,2,False,False,,,,0.7957057823129252,0.7247608926673751,0.48800137783221065,8455be624e2cb3f0b4c8f849bc116a75025c5b2d27c661cc9ea49e11cea85970,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.50/seed_2/imp_phase/summary.json,4,400,1600,4,400,0.7957057823129252,0.7247608926673751,False,False
imp,0.5,3,False,False,,,,0.8180272108843537,0.7166843783209351,0.48800137783221065,3fec2d987f206df493d26a6ec38d1ff884d619d45e98994957ab260aed52680b,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.50/seed_3/imp_phase/summary.json,4,400,1600,4,400,0.8180272108843537,0.7166843783209351,False,False
imp,0.5,4,False,False,,,,0.7852891156462585,0.6771519659936238,0.48800137783221065,42db9c80d9a95900247772a6e68f4cbb7af3e6b880e25b998f27dca111d3e804,res/raw/exp_b_sp_00_20_50.zip!exp_b/imp/sp_0.50/seed_4/imp_phase/summary.json,4,400,1600,4,400,0.7852891156462585,0.6780021253985122,False,False
imp,0.7,0,False,False,,,,0.8992346938775511,0.8444208289054198,0.6723247091243111,da58f62c34cc269b0153474040d9a21b6f36f847f8f9568364f8890c9b52a96b,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_0/imp_phase/summary.json,6,400,2400,6,400,0.8992346938775511,0.8444208289054198,False,False
imp,0.7,1,False,False,,,,0.8628826530612245,0.7934112646121148,0.6723247091243111,1b8bc30e730554078a6427956362ea36383e69dfd35359457871f39632792881,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_1/imp_phase/summary.json,6,400,2400,6,400,0.8639455782312925,0.7991498405951116,False,False
imp,0.7,2,False,False,,,,0.8616071428571429,0.8085015940488842,0.6723247091243111,d90673aeb48e61435dcf1bd06be585ee7453b09443ccd72b4a3d536997afd783,res/raw/exp_b_sp_70_80.zip!exp_b/imp/sp_0.70/seed_2/imp_phase/summary.json,6,400,2400,6,400,0.8777636054421769,0.8221041445270988,False,False
